,Date,Hour,PM2_MIN,PM2_MAX,PM2_AVG
459,2019-09-16,19,13.0,17.0,15.0
460,2019-09-16,20,13.0,17.0,15.0
461,2019-09-16,21,13.0,17.0,15.0
462,2019-09-16,22,13.0,17.0,15.0
463,2019-09-16,23,13.0,17.0,15.0
464,2019-09-17,0,13.0,17.0,15.0
465,2019-09-17,1,13.0,16.0,14.0
466,2019-09-17,2,13.0,16.0,14.0
467,2019-09-17,3,13.0,16.0,14.0
468,2019-09-17,4,13.0,15.0,14.0
469,2019-09-17,5,13.0,15.0,14.0
470,2019-09-17,6,13.0,15.0,14.0
471,2019-09-17,7,13.0,14.0,13.0
472,2019-09-17,8,13.0,14.0,13.0
473,2019-09-17,9,13.0,14.0,13.0
474,2019-09-17,10,13.0,14.0,13.0
475,2019-09-17,11,13.0,14.0,13.0
476,2019-09-17,12,13.0,14.0,13.0
477,2019-09-17,13,13.0,14.0,13.0
478,2019-09-17,14,12.0,14.0,13.0
479,2019-09-17,15,12.0,14.0,13.0
480,2019-09-17,16,12.0,14.0,13.0
481,2019-09-17,17,12.0,14.0,13.0
482,2019-09-17,18,12.0,14.0,13.0
483,2019-09-17,19,12.0,13.0,12.0
484,2019-09-17,20,12.0,13.0,12.0
485,2019-09-17,21,12.0,13.0,12.0
486,2019-09-17,22,12.0,13.0,12.0
487,2019-09-17,23,12.0,13.0,12.0
488,2019-09-18,0,12.0,13.0,12.0
489,2019-09-18,1,11.0,13.0,12.0
490,2019-09-18,2,11.0,13.0,12.0
491,2019-09-18,3,11.0,13.0,12.0
492,2019-09-18,4,11.0,13.0,12.0
493,2019-09-18,5,11.0,13.0,12.0
494,2019-09-18,6,11.0,13.0,12.0
495,2019-09-18,7,11.0,13.0,12.0
496,2019-09-18,8,11.0,13.0,12.0
497,2019-09-18,9,11.0,13.0,12.0
498,2019-09-18,10,11.0,13.0,12.0
499,2019-09-18,11,11.0,13.0,12.0
500,2019-09-18,12,11.0,13.0,12.0
501,2019-09-18,13,11.0,13.0,12.0
502,2019-09-18,14,11.0,13.0,12.0
503,2019-09-18,15,11.0,13.0,12.0
504,2019-09-18,16,11.0,13.0,12.0
505,2019-09-18,17,11.0,13.0,12.0
506,2019-09-18,18,11.0,13.0,12.0
507,2019-09-18,19,11.0,14.0,12.0
508,2019-09-18,20,11.0,14.0,12.0
509,2019-09-18,21,11.0,15.0,13.0
510,2019-09-18,22,11.0,16.0,13.0
511,2019-09-18,23,11.0,18.0,14.0
512,2019-09-19,0,11.0,20.0,15.0
513,2019-09-19,1,11.0,21.0,16.0
514,2019-09-19,2,11.0,23.0,17.0
515,2019-09-19,3,11.0,25.0,18.0
516,2019-09-19,4,11.0,26.0,18.0
517,2019-09-19,5,11.0,27.0,19.0
518,2019-09-19,6,11.0,27.0,19.0
519,2019-09-19,7,11.0,28.0,19.0
520,2019-09-19,8,11.0,29.0,20.0
521,2019-09-19,9,11.0,30.0,20.0
522,2019-09-19,10,11.0,32.0,21.0
523,2019-09-19,11,11.0,32.0,21.0
524,2019-09-19,12,11.0,33.0,22.0
525,2019-09-19,13,11.0,33.0,22.0
526,2019-09-19,14,12.0,33.0,22.0
527,2019-09-19,15,12.0,33.0,22.0
528,2019-09-19,16,13.0,33.0,23.0
529,2019-09-19,17,14.0,33.0,23.0
530,2019-09-19,18,14.0,33.0,23.0
531,2019-09-19,19,14.0,33.0,23.0
532,2019-09-19,20,15.0,33.0,24.0
533,2019-09-19,21,16.0,33.0,24.0
534,2019-09-19,22,17.0,33.0,25.0
535,2019-09-19,23,20.0,33.0,26.0
536,2019-09-20,0,21.0,33.0,27.0
537,2019-09-20,1,22.0,33.0,27.0
538,2019-09-20,2,24.0,33.0,28.0
